ticker,ticker_type,ticker_adm
VISC11,Tijolo: Shoppings,BRL Trust DTVM
VIUR11,Tijolo: Outros,BRL Trust DTVM
VLOL11,Tijolo: Escritórios,Oliveira Trust
VOTS11,Papel: CRIs,Votorantim Asset Management
VPSI11,Tijolo: Shoppings,Votorantim Asset Management
VRTA11,Papel: CRIs,Banco Fator
VSHO11,Tijolo: Shoppings,Votorantim Asset Management
VSLH11,Papel: CRIs,Vórtx DTVM LTDA
VTLT11,Tijolo: Galpões,Votorantim Asset Management
VVPR11,Tijolo: Escritórios,BTG Pactual
WPLZ11,Tijolo: Shoppings,Hedge Investments DTVM LTDA
XPCA11,FIAGRO,XP Investimentos
XPCI11,Papel: CRIs,Vórtx DTVM LTDA
XPCM11,Tijolo: Escritórios,Rio Bravo Investimentos
XPIN11,Tijolo: Galpões,Vórtx DTVM LTDA
XPLG11,Tijolo: Galpões,Vórtx DTVM LTDA
XPML11,Tijolo: Shoppings,XP Investimentos
XPPR11,Tijolo: Escritórios,Vórtx DTVM LTDA
XPSF11,Papel: Fundo de Fundos,XP Investimentos
XTED11,Tijolo: Escritórios,BTG Pactual
YUFI11,Tijolo: Outros,BRL Trust DTVM
AFOF11,Papel: Fundo de Fundos,BRL Trust DTVM
ATCR11,Tijolo: Escritórios,RJI CTVM LTDA
BLCP11,Tijolo: Galpões,BTG Pactual
BLMO11,Tijolo: Escritórios,BRL Trust DTVM
BPRP11,Tijolo: Galpões,BTG Pactual
BRHT11B,Tijolo: Hotéis,BNY Mellon
BRLA11,Tijolo: Galpões,BTG Pactual
BTAG11,FIAGRO,BTG Pactual
BZLI11,Híbrido (Tijolo/Papel),Índigo Investimentos DTVM
CFHI11,Tijolo: Desenvolvimento,Vórtx DTVM LTDA
CJCT11,Tijolo: Escritórios,Hedge Investments DTVM LTDA
CORM11,Tijolo: Híbrido,BTG Pactual
DMAC11,Tijolo: Desenvolvimento,Oliveira Trust
DOVL11B,Tijolo: Escritórios,BNY Mellon
ERCR11,Tijolo: Desenvolvimento,Oliveira Trust
ERPA11,Tijolo: Escritórios,Oliveira Trust
FINF11,Tijolo: Galpões,Planner Trustee DTVM LTDA
FISD11,Papel: CRIs,RJI CTVM LTDA
FLCR11,Papel: CRIs,BRL Trust DTVM
FTCE11B,Híbrido (Tijolo/Papel),BRL Trust DTVM
GESE11B,Tijolo: Educacional,Oliveira Trust
HDOF11,Tijolo: Desenvolvimento,Hedge Investments DTVM LTDA
HRDF11,Tijolo: Desenvolvimento,Hedge Investments DTVM LTDA
IBCR11,Papel: CRIs,BTG Pactual
IDGR11,Indefinido,ID CTVM
KEVE11,Tijolo: Desenvolvimento,INTRAG DTVM
KINP11,Tijolo: Desenvolvimento,INTRAG DTVM
KIVO11,Papel: CRIs,BRL Trust DTVM
KNHY11,Papel: CRIs,INTRAG DTVM
KNIP11,Papel: CRIs,INTRAG DTVM
KNRE11,Tijolo: Desenvolvimento,INTRAG DTVM
LATR11B,Tijolo: Desenvolvimento,Oliveira Trust
LFTT11,Tijolo: Desenvolvimento,Modal DTVM
LKDV11,Tijolo: Desenvolvimento,BTG Pactual
LOFT11B,Tijolo: Desenvolvimento,MAF DTVM
LPLP11,Tijolo: Desenvolvimento,Oliveira Trust
LSAG11,FIAGRO,Banco Genial
MGHT11,Tijolo: Hotéis,BTG Pactual
MGIM11,Tijolo: Desenvolvimento,BTG Pactual
MINT11,Tijolo: Educacional,Brasil Plural S.A. Banco Múltiplo
MORE11,Papel: Fundo de Fundos,BTG Pactual
NVIF11B,Tijolo: Desenvolvimento,MAF DTVM
ORPD11,Tijolo: Desenvolvimento,Planner Trustee DTVM LTDA
PBLV11,Tijolo: Galpões,BRL Trust DTVM
PEMA11,Papel: CRIs,BRL Trust DTVM
PLRI11,Papel: CRIs,Oliveira Trust
PRSN11B,Tijolo: Desenvolvimento,Oliveira Trust
PRTS11,Tijolo: Shoppings,Banco Modal S.A.
RBDS11,Tijolo: Desenvolvimento,Oliveira Trust
